Info 0    [13:10:24.570] Starting TS Server
Info 1    [13:10:24.574] Version: 3.7.5
Info 2    [13:10:24.574] Arguments: /usr/bin/node /home/nikyq/.emacs.d/.cache/lsp/npm/typescript/bin/tsserver --logFile /home/nikyq/projects/discord-bots/ward-bot/.log/tsserver.log --logVerbosity info --cancellationPipeName /tmp/2423175890f53bcd1ad6ad97c4b7b74c/tscancellation*
Info 3    [13:10:24.574] Platform: linux NodeVersion: 13 CaseSensitive: true
Info 4    [13:10:24.588] Search path: /home/nikyq/projects/discord-bots/ward-bot
Info 5    [13:10:24.588] For info: /home/nikyq/projects/discord-bots/ward-bot/main.js :: No config files found.
Info 6    [13:10:24.593] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 7    [13:10:27.506] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true Elapsed: 2913ms
Info 8    [13:10:27.506] Project '/dev/null/inferredProject1*' (Inferred) 
Info 9    [13:10:27.506] 	Files (297)

Info 10   [13:10:27.506] -----------------------------------------------
Info 11   [13:10:27.534] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 12   [13:10:27.618] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: false Elapsed: 84ms
Info 13   [13:10:27.618] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 14   [13:10:28.223] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 15   [13:10:28.523] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: true Elapsed: 300ms
Info 16   [13:10:28.524] Project '/dev/null/inferredProject1*' (Inferred) 
Info 17   [13:10:28.524] 	Files (304)

Info 18   [13:10:28.524] -----------------------------------------------
Info 19   [13:10:28.525] Structure before ensureProjectForOpenFiles:
Info 20   [13:10:28.525] Structure after ensureProjectForOpenFiles:
Info 21   [13:10:28.525] got projects updated in background, updating diagnostics for /home/nikyq/projects/discord-bots/ward-bot/main.js
Info 22   [13:10:29.148] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 23   [13:10:29.277] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: false Elapsed: 129ms
Info 24   [13:10:29.277] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 25   [13:10:29.277] Structure before ensureProjectForOpenFiles:
Info 26   [13:10:29.278] Structure after ensureProjectForOpenFiles:
Info 27   [13:10:29.278] got projects updated in background, updating diagnostics for /home/nikyq/projects/discord-bots/ward-bot/main.js
Info 28   [13:10:30.14] FileWatcher:: Triggered with /home/nikyq/projects/discord-bots/ward-bot/node_modules/dotenv/types 0:: WatchInfo: /home/nikyq/projects/discord-bots/ward-bot/node_modules/dotenv/types 500 Project: /dev/null/inferredProject1* WatchType: Missing file
Info 29   [13:10:30.16] Elapsed:: 1ms FileWatcher:: Triggered with /home/nikyq/projects/discord-bots/ward-bot/node_modules/dotenv/types 0:: WatchInfo: /home/nikyq/projects/discord-bots/ward-bot/node_modules/dotenv/types 500 Project: /dev/null/inferredProject1* WatchType: Missing file
Info 30   [13:10:30.266] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 31   [13:10:30.424] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 5 structureChanged: false Elapsed: 157ms
Info 32   [13:10:30.424] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 33   [13:10:30.424] Structure before ensureProjectForOpenFiles:
Info 34   [13:10:30.424] Structure after ensureProjectForOpenFiles:
Info 35   [13:10:30.425] got projects updated in background, updating diagnostics for /home/nikyq/projects/discord-bots/ward-bot/main.js
Info 36   [13:10:30.550] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 37   [13:10:30.612] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 6 structureChanged: false Elapsed: 62ms
Info 38   [13:10:30.612] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 39   [13:10:33.767] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
